cardIdentifier,name,printings_identifier,printings_rarity,printings_set,pitch,typeText,subtypes,types
adrenaline-rush-red,Adrenaline Rush (Red),MON263,Common,Monarch,1,Generic Action - Attack,Attack,Action
adrenaline-rush-yellow,Adrenaline Rush (Yellow),HVY223,Common,Heavy Hitters,2,Generic Action - Attack,Attack,Action
adrenaline-rush-yellow,Adrenaline Rush (Yellow),MON264,Common,Monarch,2,Generic Action - Attack,Attack,Action
adrenaline-rush-blue,Adrenaline Rush (Blue),HVY224,Common,Heavy Hitters,3,Generic Action - Attack,Attack,Action
adrenaline-rush-blue,Adrenaline Rush (Blue),MON265,Common,Monarch,3,Generic Action - Attack,Attack,Action
aegis-archangel-of-protection,"Aegis, Archangel of Protection",DTD007,Majestic,Dusk Till Dawn,,Light - Angel Ally,Ally; Angel,
aegis-archangel-of-protection,"Aegis, Archangel of Protection",DTD007,Marvel,Dusk Till Dawn,,Light - Angel Ally,Ally; Angel,
aether-arc-blue,Aether Arc (Blue),HVY252,Majestic,Heavy Hitters,3,Wizard Action,NonAttack,Action
aether-ashwing,Aether Ashwing,UPR042,Token,Uprising,,Draconic Illusionist Token - Dragon Ally,Ally; Dragon,Token
aether-ashwing,Aether Ashwing,UPR042,Common,Uprising,,Draconic Illusionist Token - Dragon Ally,Ally; Dragon,Token
aether-ashwing,Aether Ashwing,UPR042,Marvel,Uprising,,Draconic Illusionist Token - Dragon Ally,Ally; Dragon,Token
aether-ashwing,Aether Ashwing,DRO003,Token,Dromai Blitz Deck,,Draconic Illusionist Token - Dragon Ally,Ally; Dragon,Token
aether-bindings-of-the-third-age,Aether Bindings of the Third Age,ROS163,Legendary,Rosetta,,Wizard Equipment - Arms,Arms,Equipment
aether-bindings-of-the-third-age,Aether Bindings of the Third Age,FAB253,Promo,Promos,,Wizard Equipment - Arms,Arms,Equipment
aether-conduit,Aether Conduit,1HP304,Rare,History Pack 1,,Wizard Weapon - Staff (2H),TwoHanded; Staff,Weapon
aether-conduit,Aether Conduit,CRU160,Rare,Crucible Of War,,Wizard Weapon - Staff (2H),TwoHanded; Staff,Weapon
aether-crackers,Aether Crackers,AUR005,Common,First Strike Aurora,,Runeblade Equipment - Arms,Arms,Equipment
aether-crackers,Aether Crackers,FAB334,Promo,Promos,,Runeblade Equipment - Arms,Arms,Equipment
aether-dart-red,Aether Dart (Red),UPR173,Common,Uprising,1,Wizard Action,NonAttack,Action
aether-dart-yellow,Aether Dart (Yellow),UPR174,Common,Uprising,2,Wizard Action,NonAttack,Action
aether-dart-blue,Aether Dart (Blue),UPR175,Common,Uprising,3,Wizard Action,NonAttack,Action
aether-flare-red,Aether Flare (Red),1HP323,Common,History Pack 1,1,Wizard Action,NonAttack,Action
aether-flare-red,Aether Flare (Red),ARC132,Common,Arcane Rising,1,Wizard Action,NonAttack,Action
aether-flare-yellow,Aether Flare (Yellow),1HP324,Common,History Pack 1,2,Wizard Action,NonAttack,Action
aether-flare-yellow,Aether Flare (Yellow),ARC133,Common,Arcane Rising,2,Wizard Action,NonAttack,Action
aether-flare-blue,Aether Flare (Blue),1HP325,Common,History Pack 1,3,Wizard Action,NonAttack,Action
aether-flare-blue,Aether Flare (Blue),ARC134,Common,Arcane Rising,3,Wizard Action,NonAttack,Action
aether-hail-red,Aether Hail (Red),UPR127,Common,Uprising,1,Ice Wizard Action,NonAttack,Action
aether-hail-yellow,Aether Hail (Yellow),UPR128,Common,Uprising,2,Ice Wizard Action,NonAttack,Action
aether-hail-blue,Aether Hail (Blue),SIY020,Common,Iyslander Silver Age Deck,3,Ice Wizard Action,NonAttack,Action
aether-hail-blue,Aether Hail (Blue),UPR129,Common,Uprising,3,Ice Wizard Action,NonAttack,Action
aether-icevein-red,Aether Icevein (Red),SIY014,Common,Iyslander Silver Age Deck,1,Elemental Wizard Action,NonAttack,Action
aether-icevein-red,Aether Icevein (Red),UPR113,Common,Uprising,1,Elemental Wizard Action,NonAttack,Action
aether-icevein-yellow,Aether Icevein (Yellow),SIY018,Common,Iyslander Silver Age Deck,2,Elemental Wizard Action,NonAttack,Action
aether-icevein-yellow,Aether Icevein (Yellow),UPR114,Common,Uprising,2,Elemental Wizard Action,NonAttack,Action
aether-icevein-blue,Aether Icevein (Blue),SIY021,Common,Iyslander Silver Age Deck,3,Elemental Wizard Action,NonAttack,Action
aether-icevein-blue,Aether Icevein (Blue),UPR115,Common,Uprising,3,Elemental Wizard Action,NonAttack,Action
aether-ironweave,Aether Ironweave,MON230,Common,Monarch,,Runeblade Equipment - Chest,Chest,Equipment
aether-ironweave,Aether Ironweave,CHN005,Common,Chane Blitz Deck,,Runeblade Equipment - Chest,Chest,Equipment
aether-ironweave,Aether Ironweave,FAB149,Promo,Promos,,Runeblade Equipment - Chest,Chest,Equipment
aether-quickening-red,Aether Quickening (Red),ROS183,Common,Rosetta,1,Wizard Action,NonAttack,Action
aether-quickening-red,Aether Quickening (Red),VER012,Common,Verdance Blitz Deck,1,Wizard Action,NonAttack,Action
aether-quickening-red,Aether Quickening (Red),OSC011,Common,Oscilio Blitz Deck,1,Wizard Action,NonAttack,Action
aether-quickening-red,Aether Quickening (Red),DYN197,Rare,Dynasty,1,Wizard Action,NonAttack,Action
aether-quickening-red,Aether Quickening (Red),FAB112,Promo,Promos,1,Wizard Action,NonAttack,Action
aether-quickening-yellow,Aether Quickening (Yellow),ROS184,Common,Rosetta,2,Wizard Action,NonAttack,Action
aether-quickening-yellow,Aether Quickening (Yellow),DYN198,Rare,Dynasty,2,Wizard Action,NonAttack,Action
aether-quickening-yellow,Aether Quickening (Yellow),FAB113,Promo,Promos,2,Wizard Action,NonAttack,Action
aether-quickening-blue,Aether Quickening (Blue),SBZ024,Common,Blaze Silver Age Deck,3,Wizard Action,NonAttack,Action
aether-quickening-blue,Aether Quickening (Blue),ROS185,Common,Rosetta,3,Wizard Action,NonAttack,Action
aether-quickening-blue,Aether Quickening (Blue),DYN199,Rare,Dynasty,3,Wizard Action,NonAttack,Action
aether-quickening-blue,Aether Quickening (Blue),FAB114,Promo,Promos,3,Wizard Action,NonAttack,Action
aether-sink-yellow,Aether Sink (Yellow),1HP199,Rare,History Pack 1,2,Mechanologist Action - Item,Item; NonAttack,Action
aether-sink-yellow,Aether Sink (Yellow),ARC017,Rare,Arcane Rising,2,Mechanologist Action - Item,Item; NonAttack,Action
aether-slash-red,Aether Slash (Red),DYN182,Common,Dynasty,1,Runeblade Action - Attack,Attack,Action
aether-slash-yellow,Aether Slash (Yellow),DYN183,Common,Dynasty,2,Runeblade Action - Attack,Attack,Action
aether-slash-blue,Aether Slash (Blue),DYN184,Common,Dynasty,3,Runeblade Action - Attack,Attack,Action
aether-spindle-red,Aether Spindle (Red),SBZ013,Rare,Blaze Silver Age Deck,1,Wizard Action,NonAttack,Action
aether-spindle-red,Aether Spindle (Red),1HP314,Rare,History Pack 1,1,Wizard Action,NonAttack,Action
aether-spindle-red,Aether Spindle (Red),ARC126,Rare,Arcane Rising,1,Wizard Action,NonAttack,Action
aether-spindle-yellow,Aether Spindle (Yellow),1HP315,Rare,History Pack 1,2,Wizard Action,NonAttack,Action
aether-spindle-yellow,Aether Spindle (Yellow),ARC127,Rare,Arcane Rising,2,Wizard Action,NonAttack,Action
aether-spindle-blue,Aether Spindle (Blue),SBZ025,Rare,Blaze Silver Age Deck,3,Wizard Action,NonAttack,Action
aether-spindle-blue,Aether Spindle (Blue),1HP316,Rare,History Pack 1,3,Wizard Action,NonAttack,Action
aether-spindle-blue,Aether Spindle (Blue),ARC128,Rare,Arcane Rising,3,Wizard Action,NonAttack,Action
aether-wildfire-red,Aether Wildfire (Red),EVR123,Majestic,Everfest,1,Wizard Action,NonAttack,Action
aetherize-blue,Aetherize (Blue),CRU164,Majestic,Crucible Of War,3,Wizard Instant,,Instant
aethersling-red,Aethersling (Red),OMN134,Rare,Omens Of The Third Age,1,Wizard Action,NonAttack,Action
aetherstorm-wellingtons,Aetherstorm Wellingtons,SBZ007,Rare,Blaze Silver Age Deck,,Wizard Equipment - Legs,Legs,Equipment
aetherstorm-wellingtons,Aetherstorm Wellingtons,SIY008,Rare,Iyslander Silver Age Deck,,Wizard Equipment - Legs,Legs,Equipment
aetherstorm-wellingtons,Aetherstorm Wellingtons,PEN110,Rare,Compendium Of Rathe,,Wizard Equipment - Legs,Legs,Equipment
affirm-loyalty-red,Affirm Loyalty (Red),HNT103,Rare,The Hunted,1,Draconic Warrior Attack Reaction,,AttackReaction
affirm-loyalty-red,Affirm Loyalty (Red),FNG009,Rare,Fang Blitz Deck,1,Draconic Warrior Attack Reaction,,AttackReaction
affirm-loyalty-red,Affirm Loyalty (Red),GEM012,Promo,GEM,1,Draconic Warrior Attack Reaction,,AttackReaction
aftershock-red,Aftershock (Red),MPG035,Rare,Mastery Pack Guardian,1,Guardian Action - Attack,Attack,Action
aftershock-yellow,Aftershock (Yellow),MPG036,Rare,Mastery Pack Guardian,2,Guardian Action - Attack,Attack,Action
aftershock-blue,Aftershock (Blue),MPG037,Rare,Mastery Pack Guardian,3,Guardian Action - Attack,Attack,Action
aggressive-pounce-red,Aggressive Pounce (Red),PEN009,Common,Compendium Of Rathe,1,Brute Action - Attack,Attack,Action
aggressive-pounce-red,Aggressive Pounce (Red),GEM114,Promo,GEM,1,Brute Action - Attack,Attack,Action
aggressive-pounce-yellow,Aggressive Pounce (Yellow),PEN010,Common,Compendium Of Rathe,2,Brute Action - Attack,Attack,Action
aggressive-pounce-blue,Aggressive Pounce (Blue),PEN011,Common,Compendium Of Rathe,3,Brute Action - Attack,Attack,Action
agile-engagement-red,Agile Engagement (Red),SDO012,Common,Dorinthea Silver Age Deck,1,Warrior Attack Reaction,,AttackReaction
agile-engagement-red,Agile Engagement (Red),HVY115,Common,Heavy Hitters,1,Warrior Attack Reaction,,AttackReaction
agile-engagement-red,Agile Engagement (Red),OLA012,Common,Olympia Blitz Deck,1,Warrior Attack Reaction,,AttackReaction
agile-engagement-red,Agile Engagement (Red),KSI012,Common,Kassai Blitz Deck,1,Warrior Attack Reaction,,AttackReaction
agile-engagement-yellow,Agile Engagement (Yellow),HVY116,Common,Heavy Hitters,2,Warrior Attack Reaction,,AttackReaction
agile-engagement-blue,Agile Engagement (Blue),HVY117,Common,Heavy Hitters,3,Warrior Attack Reaction,,AttackReaction
agile-engagement-blue,Agile Engagement (Blue),OLA023,Common,Olympia Blitz Deck,3,Warrior Attack Reaction,,AttackReaction
agile-engagement-blue,Agile Engagement (Blue),KSI023,Common,Kassai Blitz Deck,3,Warrior Attack Reaction,,AttackReaction
agile-windup-red,Agile Windup (Red),HVY163,Common,Heavy Hitters,1,Brute / Warrior Action - Attack,Attack,Action
agile-windup-red,Agile Windup (Red),RHI008,Common,Rhinar Blitz Deck,1,Brute / Warrior Action - Attack,Attack,Action
agile-windup-red,Agile Windup (Red),KYO007,Common,Kayo Blitz Deck,1,Brute / Warrior Action - Attack,Attack,Action
agile-windup-yellow,Agile Windup (Yellow),HVY164,Common,Heavy Hitters,2,Brute / Warrior Action - Attack,Attack,Action
agile-windup-yellow,Agile Windup (Yellow),RHI017,Common,Rhinar Blitz Deck,2,Brute / Warrior Action - Attack,Attack,Action
agile-windup-yellow,Agile Windup (Yellow),KYO016,Common,Kayo Blitz Deck,2,Brute / Warrior Action - Attack,Attack,Action
agile-windup-blue,Agile Windup (Blue),SKA025,Common,Kayo Silver Age Deck,3,Brute / Warrior Action - Attack,Attack,Action
agile-windup-blue,Agile Windup (Blue),AKO017,Common,Armory Deck Kayo,3,Brute / Warrior Action - Attack,Attack,Action
agile-windup-blue,Agile Windup (Blue),HVY165,Common,Heavy Hitters,3,Brute / Warrior Action - Attack,Attack,Action
agile-windup-blue,Agile Windup (Blue),KYO022,Common,Kayo Blitz Deck,3,Brute / Warrior Action - Attack,Attack,Action
agility,Agility,SBL034,Basic,Boltyn Silver Age Deck,,Generic Token - Aura,Aura,Token
agility,Agility,SKA034,Basic,Kayo Silver Age Deck,,Generic Token - Aura,Aura,Token
agility,Agility,SDO035,Basic,Dorinthea Silver Age Deck,,Generic Token - Aura,Aura,Token
agility,Agility,ARR029,Basic,Armory Deck Rhinar,,Generic Token - Aura,Aura,Token
agility,Agility,AKO027,Token,Armory Deck Kayo,,Generic Token - Aura,Aura,Token
agility,Agility,HVY240,Token,Heavy Hitters,,Generic Token - Aura,Aura,Token
agility,Agility,RHI029,Token,Rhinar Blitz Deck,,Generic Token - Aura,Aura,Token
agility,Agility,OLA028,Token,Olympia Blitz Deck,,Generic Token - Aura,Aura,Token
agility,Agility,KYO027,Token,Kayo Blitz Deck,,Generic Token - Aura,Aura,Token
agility,Agility,KSI028,Token,Kassai Blitz Deck,,Generic Token - Aura,Aura,Token
agility,Agility,FAB204,Promo,Promos,,Generic Token - Aura,Aura,Token
agility,Agility,LGS229,Promo,Promos,,Generic Token - Aura,Aura,Token
agility-stance-yellow,Agility Stance (Yellow),HNT125,Rare,The Hunted,2,Warrior Action - Aura,Aura; NonAttack,Action
agility-stance-yellow,Agility Stance (Yellow),FAB313,Promo,Promos,2,Warrior Action - Aura,Aura; NonAttack,Action
alluring-inducement-yellow,Alluring Inducement (Yellow),DTD215,Majestic,Dusk Till Dawn,2,Shapeshifter Action - Attack,Attack,Action
alluvion-constellas,Alluvion Constellas,UPR166,Legendary,Uprising,,Wizard Equipment - Chest,Chest,Equipment
alluvion-constellas,Alluvion Constellas,FAB084,Promo,Promos,,Wizard Equipment - Chest,Chest,Equipment
alpha-instinct-blue,Alpha Instinct (Blue),ARR022,Majestic,Armory Deck Rhinar,3,Brute Action - Attack,Attack,Action
alpha-instinct-blue,Alpha Instinct (Blue),GEM161,Promo,GEM,3,Brute Action - Attack,Attack,Action
alpha-rampage-red,Alpha Rampage (Red),RVD008,Majestic,Classic Battles Rhinar Dorinthea,1,Brute Action - Attack,Attack,Action
alpha-rampage-red,Alpha Rampage (Red),1HP010,Majestic,History Pack 1,1,Brute Action - Attack,Attack,Action
alpha-rampage-red,Alpha Rampage (Red),WTR006,Majestic,Welcome To Rathe,1,Brute Action - Attack,Attack,Action
already-dead-red,Already Dead (Red),EVO236,Majestic,Bright Lights,1,Assassin Action - Attack,Attack,Action
amethyst-amulet-blue,Amethyst Amulet (Blue),SEA189,Majestic,High Seas,3,Generic Action - Item,Item; NonAttack,Action
amethyst-amulet-blue,Amethyst Amulet (Blue),SEA189,Marvel,High Seas,3,Generic Action - Item,Item; NonAttack,Action
amethyst-tiara,Amethyst Tiara,DYN171,Majestic,Dynasty,,Runeblade Equipment - Head,Head,Equipment
amethyst-tiara,Amethyst Tiara,DYN171,Marvel,Dynasty,,Runeblade Equipment - Head,Head,Equipment
amnesia-red,Amnesia (Red),OUT183,Majestic,Outsiders,1,Generic Action - Attack,Attack,Action
amnesia-red,Amnesia (Red),ANQ011,Majestic,Promos,1,Generic Action - Attack,Attack,Action
amplify-the-arknight-red,Amplify the Arknight (Red),SVI011,Common,Viserai Silver Age Deck,1,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-red,Amplify the Arknight (Red),AVS007,Common,Armory Deck Legends Viserai,1,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-red,Amplify the Arknight (Red),1HP282,Common,History Pack 1,1,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-red,Amplify the Arknight (Red),ARC094,Common,Arcane Rising,1,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-yellow,Amplify the Arknight (Yellow),1HP283,Common,History Pack 1,2,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-yellow,Amplify the Arknight (Yellow),ARC095,Common,Arcane Rising,2,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-blue,Amplify the Arknight (Blue),AVS023,Common,Armory Deck Legends Viserai,3,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-blue,Amplify the Arknight (Blue),1HP284,Common,History Pack 1,3,Runeblade Action - Attack,Attack,Action
amplify-the-arknight-blue,Amplify the Arknight (Blue),ARC096,Common,Arcane Rising,3,Runeblade Action - Attack,Attack,Action
amplifying-arrow-yellow,Amplifying Arrow (Yellow),OUT100,Majestic,Outsiders,2,Ranger Action - Arrow Attack,Arrow; Attack,Action
amulet-of-assertiveness-yellow,Amulet of Assertiveness (Yellow),EVR176,Rare,Everfest,2,Generic Action - Item,Item; NonAttack,Action
amulet-of-earth-blue,Amulet of Earth (Blue),ELE143,Common,Tales Of Aria,3,Earth Action - Item,Item; NonAttack,Action
amulet-of-earth-blue,Amulet of Earth (Blue),BRI026,Common,Briar Blitz Deck,3,Earth Action - Item,Item; NonAttack,Action
amulet-of-earth-blue,Amulet of Earth (Blue),LGS063,Promo,Promos,3,Earth Action - Item,Item; NonAttack,Action
amulet-of-echoes-blue,Amulet of Echoes (Blue),EVR177,Rare,Everfest,3,Generic Action - Item,Item; NonAttack,Action
amulet-of-havencall-blue,Amulet of Havencall (Blue),EVR178,Rare,Everfest,3,Generic Action - Item,Item; NonAttack,Action
amulet-of-ice-blue,Amulet of Ice (Blue),AJV026,Common,Armory Deck Origins Jarl,3,Ice Action - Item,Item; NonAttack,Action
amulet-of-ice-blue,Amulet of Ice (Blue),ELE172,Common,Tales Of Aria,3,Ice Action - Item,Item; NonAttack,Action
amulet-of-ice-blue,Amulet of Ice (Blue),OLD018,Common,Oldhim Blitz Deck,3,Ice Action - Item,Item; NonAttack,Action
amulet-of-ice-blue,Amulet of Ice (Blue),LGS064,Promo,Promos,3,Ice Action - Item,Item; NonAttack,Action
amulet-of-ignition-yellow,Amulet of Ignition (Yellow),EVR179,Rare,Everfest,2,Generic Action - Item,Item; NonAttack,Action
amulet-of-intervention-blue,Amulet of Intervention (Blue),EVR180,Rare,Everfest,3,Generic Action - Item,Item; NonAttack,Action
amulet-of-lightning-blue,Amulet of Lightning (Blue),ELE201,Common,Tales Of Aria,3,Lightning Action - Item,Item; NonAttack,Action
amulet-of-lightning-blue,Amulet of Lightning (Blue),LXI021,Common,Lexi Blitz Deck,3,Lightning Action - Item,Item; NonAttack,Action
amulet-of-lightning-blue,Amulet of Lightning (Blue),LGS065,Promo,Promos,3,Lightning Action - Item,Item; NonAttack,Action
amulet-of-oblation-blue,Amulet of Oblation (Blue),EVR181,Rare,Everfest,3,Generic Action - Item,Item; NonAttack,Action
anaphylactic-shock-blue,Anaphylactic Shock (Blue),HNT016,Majestic,The Hunted,3,Assassin Instant - Trap,Trap,Instant
ancestral-empowerment-red,Ancestral Empowerment (Red),1HP103,Majestic,History Pack 1,1,Ninja Attack Reaction,,AttackReaction
ancestral-empowerment-red,Ancestral Empowerment (Red),WTR082,Majestic,Welcome To Rathe,1,Ninja Attack Reaction,,AttackReaction
ancestral-harmony-blue,Ancestral Harmony (Blue),HVY247,Majestic,Heavy Hitters,3,Ninja Action,NonAttack,Action
and-again-blue, (Blue),MPW028,Majestic,Mastery Pack Warrior,3,Warrior Action,NonAttack,Action
angelic-attendant-yellow,Angelic Attendant (Yellow),SUP265,Majestic,Super Slam,2,Light Illusionist Action,NonAttack,Action
angelic-descent-red,Angelic Descent (Red),DTD032,Common,Dusk Till Dawn,1,Light Illusionist Instant,,Instant
angelic-descent-yellow,Angelic Descent (Yellow),DTD033,Common,Dusk Till Dawn,2,Light Illusionist Instant,,Instant
angelic-descent-blue,Angelic Descent (Blue),DTD034,Common,Dusk Till Dawn,3,Light Illusionist Instant,,Instant
angelic-wrath-red,Angelic Wrath (Red),DTD035,Common,Dusk Till Dawn,1,Light Illusionist Instant,,Instant
angelic-wrath-red,Angelic Wrath (Red),LGS161,Promo,Promos,1,Light Illusionist Instant,,Instant
angelic-wrath-yellow,Angelic Wrath (Yellow),DTD036,Common,Dusk Till Dawn,2,Light Illusionist Instant,,Instant
angelic-wrath-yellow,Angelic Wrath (Yellow),LGS162,Promo,Promos,2,Light Illusionist Instant,,Instant
angelic-wrath-blue,Angelic Wrath (Blue),DTD037,Common,Dusk Till Dawn,3,Light Illusionist Instant,,Instant
angelic-wrath-blue,Angelic Wrath (Blue),LGS163,Promo,Promos,3,Light Illusionist Instant,,Instant
angry-bones-red,Angry Bones (Red),SEA062,Common,High Seas,1,Pirate Necromancer Action - Attack,Attack,Action
angry-bones-yellow,Angry Bones (Yellow),SEA063,Common,High Seas,2,Pirate Necromancer Action - Attack,Attack,Action
angry-bones-blue,Angry Bones (Blue),SEA064,Common,High Seas,3,Pirate Necromancer Action - Attack,Attack,Action
anka-drag-under-yellow,"Anka, Drag Under (Yellow)",SEA262,Marvel,High Seas,2,Pirate Necromancer Action - Ally,Ally; NonAttack,Action
anka-drag-under-yellow,"Anka, Drag Under (Yellow)",AGB014,Majestic,Armory Deck Gravy Bones,2,Pirate Necromancer Action - Ally,Ally; NonAttack,Action
annals-of-sutcliffe,Annals of Sutcliffe,DYN172,Rare,Dynasty,,Runeblade Weapon - Book (2H),TwoHanded; Book,Weapon
annexation-of-all-things-known-yellow,Annexation of All Things Known (Yellow),MPG029,Rare,Mastery Pack Guardian,2,Guardian Action - Attack,Attack,Action
annexation-of-grandeur-yellow,Annexation of Grandeur (Yellow),MPG030,Rare,Mastery Pack Guardian,2,Guardian Action - Attack,Attack,Action
annexation-of-the-forge-yellow,Annexation of the Forge (Yellow),MPG031,Rare,Mastery Pack Guardian,2,Guardian Action - Attack,Attack,Action
annihilate-the-armed-red,Annihilate the Armed (Red),ARK008,Common,Arakni Blitz Deck ARK,1,Assassin Action - Attack,Attack,Action
annihilate-the-armed-red,Annihilate the Armed (Red),DYN133,Common,Dynasty,1,Assassin Action - Attack,Attack,Action
annihilate-the-armed-yellow,Annihilate the Armed (Yellow),DYN134,Common,Dynasty,2,Assassin Action - Attack,Attack,Action
annihilate-the-armed-blue,Annihilate the Armed (Blue),ARK019,Common,Arakni Blitz Deck ARK,3,Assassin Action - Attack,Attack,Action
annihilate-the-armed-blue,Annihilate the Armed (Blue),DYN135,Common,Dynasty,3,Assassin Action - Attack,Attack,Action
annihilator-engine-red,Annihilator Engine (Red),EVO054,Majestic,Bright Lights,1,Mechanologist Action - Attack,Attack,Action
anothos,Anothos,1HP045,Common,History Pack 1,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,CRU023,Common,Crucible Of War,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,WTR040,Token,Welcome To Rathe,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,BVO003,Common,Bravo Hero Deck,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,XXX006,Promo,Promos,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,FAB061,Promo,Promos,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anothos,Anothos,LGS002,Promo,Promos,,Guardian Weapon - Hammer (2H),TwoHanded; Hammer,Weapon
anthem-of-spring-blue,Anthem of Spring (Blue),DTD196,Majestic,Dusk Till Dawn,3,Earth Action,NonAttack,Action
anticipating-gaze,Anticipating Gaze,AHA003,Majestic,Armory Deck Origins Hala,,Warrior Equipment - Head,Head,Equipment
apex-bonebreaker,Apex Bonebreaker,HVY008,Legendary,Heavy Hitters,,Brute Equipment - Arms,Arms,Equipment
apex-bonebreaker,Apex Bonebreaker,FAB179,Promo,Promos,,Brute Equipment - Arms,Arms,Equipment
aphrodias,Aphrodias,AZS002,Common,Armory Deck Zyggy,,Lightning Illusionist Weapon - Orb (2H),TwoHanded; Orb,Weapon
aphrodias,Aphrodias,OMN003,Basic,Omens Of The Third Age,,Lightning Illusionist Weapon - Orb (2H),TwoHanded; Orb,Weapon
aphrodias,Aphrodias,GEM142,Promo,GEM,,Lightning Illusionist Weapon - Orb (2H),TwoHanded; Orb,Weapon
apocalypse-automaton-red,Apocalypse Automaton (Red),TCC011,Majestic,Round The Table,1,Mechanologist Action - Attack,Attack,Action
